id,rating,title,content,author,date,helpful_votes,verified_purchase
79,4,또 살듯,거의 다 써가는데 다음에도 이걸로 사려구요.,user079,2026-06-05,6,true
80,5,어버이날 선물,부모님이 이렇게 좋아하실 줄 몰랐네요.,user080,2026-06-06,30,true
81,5,정착템,이것저것 유목민 생활 끝내고 정착합니다.,user081,2026-06-01,8,true
82,4,가성비 굿,세일할 때 사면 완전 이득입니다.,user082,2026-06-02,3,true
83,5,너무 좋아요,사용감 마무리감 모두 완벽합니다.,user083,2026-06-03,19,true
84,3,그럭저럭,소문만큼 엄청 좋지는 않은 듯.,user084,2026-06-04,1,false
85,5,추천,지인들에게 다 추천하고 다닙니다.,user085,2026-06-05,12,true
86,1,배송 지연,일주일이나 기다려서 받았네요.,user086,2026-06-06,2,true
87,4,좋아요,다자인과 마감 모두 훌륭합니다.,user087,2026-06-07,4,true
88,5,인생 최고템,이거 없으면 불안할 정도입니다.,user088,2026-05-15,38,true
89,2,효과 모르겠음,한 달 먹었는데 아무런 변화가 없습니다.,user089,2026-05-18,0,true
90,5,믿음직한 브랜드,이 브랜드 제품은 항상 실패가 없어요.,user090,2026-05-20,11,true
91,5,칼배송,주문하자마자 발송되었어요.,user091,2026-05-22,7,true
92,4,선물용으로 샀음,패키징이 예뻐서 선물하기 좋아요.,user092,2026-05-25,15,true
93,3,양이 너무 적어,금방 다 먹어버려서 아쉽네요.,user093,2026-05-28,2,true
94,5,잔향이 오래가요,향이 좋고 오래 유지되어서 좋습니다.,user094,2026-05-30,17,true
95,4,무난해요,사무실에 두고 쓰기 딱입니다.,user095,2026-06-01,1,true
96,5,촉촉함의 끝,건조함이라는 걸 잊고 삽니다.,user096,2026-06-02,25,true
97,2,용기가 불편해요,펌프가 너무 뻑뻑해서 잘 안 눌립니다.,user097,2026-06-03,3,true
98,5,거부감 없는 맛,입맛 까다로운 아이도 잘 먹네요.,user098,2026-06-04,16,true
99,4,다시 살 예정,만족스럽게 다 쓰고 재구매 의사 100퍼입니다.,user099,2026-06-05,9,true
100,5,할머니 선물,할머니 관절에 좋다고 해서 사드렸는데 만족하셔요.,user100,2026-06-06,45,true
